study_id,model_id,assessment_framework,assessment_part,domain,judgment,rationale,evidence_url,reviewer
S-10.3390/s23249675,M061-01,PROBAST+AI,model_evaluation,participants_and_data_sources,unclear,Sampling frame and unique participant count; based on PubMed record and PMC full text. NR fields were not imputed.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,single-pass AI-assisted audit; author sign-off pending
S-10.3390/s23249675,M061-01,PROBAST+AI,model_evaluation,predictors,unclear,Signal acquisition and predictor processing; based on PubMed record and PMC full text. NR fields were not imputed.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,single-pass AI-assisted audit; author sign-off pending
S-10.3390/s23249675,M061-01,PROBAST+AI,model_evaluation,outcome,unclear,"Outcome definition, timing, and separation from predictors; based on PubMed record and PMC full text. NR fields were not imputed.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,single-pass AI-assisted audit; author sign-off pending
S-10.3390/s23249675,M061-01,PROBAST+AI,model_evaluation,analysis,unclear,"Person-level separation, tuning, and performance analysis; based on PubMed record and PMC full text. NR fields were not imputed.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,single-pass AI-assisted audit; author sign-off pending
S-10.3390/s23249675,M061-01,PROBAST+AI,model_evaluation,applicability_participants,low,Population match to clinical pain-state use; based on PubMed record and PMC full text. NR fields were not imputed.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,single-pass AI-assisted audit; author sign-off pending
S-10.3390/s23249675,M061-01,PROBAST+AI,model_evaluation,applicability_predictors,low,Availability of the measured predictors in intended use; based on PubMed record and PMC full text. NR fields were not imputed.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,single-pass AI-assisted audit; author sign-off pending
S-10.3390/s23249675,M061-01,PROBAST+AI,model_evaluation,applicability_outcome,unclear,Match between modeled target and intended clinical claim; based on PubMed record and PMC full text. NR fields were not imputed.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,single-pass AI-assisted audit; author sign-off pending
S-10.1038/s41598-025-14238-y,M062-01,PROBAST+AI,model_evaluation,participants_and_data_sources,unclear,Sampling frame and unique participant count; based on PubMed record and PMC full text. NR fields were not imputed.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12344049/,single-pass AI-assisted audit; author sign-off pending
S-10.1038/s41598-025-14238-y,M062-01,PROBAST+AI,model_evaluation,predictors,unclear,Signal acquisition and predictor processing; based on PubMed record and PMC full text. NR fields were not imputed.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12344049/,single-pass AI-assisted audit; author sign-off pending
S-10.1038/s41598-025-14238-y,M062-01,PROBAST+AI,model_evaluation,outcome,low,"Outcome definition, timing, and separation from predictors; based on PubMed record and PMC full text. NR fields were not imputed.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12344049/,single-pass AI-assisted audit; author sign-off pending
