study_id,model_id,ref_no,doi,pmid,year,population,pain_type,n_unique_subjects,n_sessions,n_windows,target_name,target_source,target_timing,modality,sensor,sampling_rate,missingness,preprocessing,segmentation,features,architecture,fusion,split_unit,outer_validation,inner_tuning,external_validation,metrics,confidence_intervals,calibration,uncertainty,subgroup_analysis,confounders,data_access,code_access,funding,conflicts,risk_of_bias,reviewer_notes
S-10.1038/s41597-024-03878-w,M012-01,12,10.1038/s41597-024-03878-w,,,acute healthy + chronic clinical,acute healthy + chronic clinical,52,NR,NR,self-report/CoVAS and NRS,see full text,see full text,"EDA, ECG, BVP, EMG, respiration, temperature","EDA, ECG, BVP, EMG, respiration, temperature",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,PainMonit descriptor; PMCD usable N not reported,open/restricted terms,NR,see full text,see full text,NA descriptor,PainMonit descriptor; PMCD usable N not reported
S-10.1109/cybconf.2013.6617456,M013-01,13,10.1109/cybconf.2013.6617456,,,acute healthy,acute healthy,87,NR,NR,stimulus class,see full text,see full text,"EDA, ECG, EMG, video","EDA, ECG, EMG, video",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,BioVid Part A; extracted features report 85 subjects,features open; raw request,NR,see full text,see full text,NA descriptor,BioVid Part A; extracted features report 85 subjects
S-10.3791/59057,M014-01,14,10.3791/59057,,,acute healthy,acute healthy,134,NR,NR,thermal/electrical stimulus,see full text,see full text,"RGB, depth, thermal, audio, EDA, ECG, EMG","RGB, depth, thermal, audio, EDA, ECG, EMG",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,X-ITE,request,NR,see full text,see full text,NA descriptor,X-ITE
S-10.1016/j.dib.2025.111992,M015-01,15,10.1016/j.dib.2025.111992,,,mixed pain groups,mixed pain groups,93,NR,NR,self-report/pain group,see full text,see full text,"EDA, BVP, temperature, EEG-derived features","EDA, BVP, temperature, EEG-derived features",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,"PhysioPain; 99 recruited, 93 records after QC",open,NR,see full text,see full text,NA descriptor,"PhysioPain; 99 recruited, 93 records after QC"
S-10.1016/j.dib.2026.113131,M016-01,16,10.1016/j.dib.2026.113131,,,pediatric rheumatology,pediatric rheumatology,42,NR,NR,Wong-Baker score,see full text,see full text,"EDA, BVP, temperature, activity","EDA, BVP, temperature, activity",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,RheumaPain; activity is a major confounder,open,NR,see full text,see full text,NA descriptor,RheumaPain; activity is a major confounder
S-10.1038/s41597-025-04733-2,M017-01,17,10.1038/s41597-025-04733-2,,,acute healthy,acute healthy,51,NR,NR,self-report 1-10,see full text,see full text,speech/audio,speech/audio,NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,"TAME; 7039 utterances, lexical leakage must be controlled",restricted DUA,NR,see full text,see full text,NA descriptor,"TAME; 7039 utterances, lexical leakage must be controlled"
S-10.1109/fg.2011.5771462,M018-01,18,10.1109/fg.2011.5771462,,,clinical shoulder pain,clinical shoulder pain,25,NR,NR,FACS/PSPI,see full text,see full text,face video,face video,NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,UNBC; 200 sequences,request/EULA,NR,see full text,see full text,NA descriptor,UNBC; 200 sequences
S-10.1109/taffc.2015.2462830,M019-01,19,10.1109/taffc.2015.2462830,,,chronic low-back pain + controls,chronic low-back pain + controls,30,NR,NR,protective behavior,see full text,see full text,"IMU, EMG, video","IMU, EMG, video",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,EmoPain movement subset,request,NR,see full text,see full text,NA descriptor,EmoPain movement subset
S-10.1109/taffc.2024.3390837,M020-01,20,10.1109/taffc.2024.3390837,,,chronic pain + controls,chronic pain + controls,18,NR,NR,pain/worry/confidence and activity,see full text,see full text,IMU,IMU,NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,EmoPain@Home; 9+9 participants,request,NR,see full text,see full text,NA descriptor,EmoPain@Home; 9+9 participants
S-10.1109/fg.2018.00044,M021-01,21,10.1109/fg.2018.00044,,,acute healthy,acute healthy,20,NR,NR,electrical stimulus class,see full text,see full text,"RGB, depth, thermal","RGB, depth, thermal",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,MIntPAIN,request/EULA,NR,see full text,see full text,NA descriptor,MIntPAIN
S-10.1038/s41597-025-05982-x,M022-01,22,10.1038/s41597-025-05982-x,,,acute healthy,acute healthy,39,NR,NR,NRS intensity/unpleasantness,see full text,see full text,"brain-spinal fMRI, pulse, respiration","brain-spinal fMRI, pulse, respiration",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,CoSpine pain cohort; motor cohort is separate,open,NR,see full text,see full text,NA descriptor,CoSpine pain cohort; motor cohort is separate
S-10.1073/pnas.2319316121,M023-01,23,10.1073/pnas.2319316121,,,surgery under anesthesia,surgery under anesthesia,101,NR,NR,nociceptive event,see full text,see full text,"ECG, EDA, drugs","ECG, EDA, drugs",NR,NR,see full text,NR,see full text,see full text,NR,NA descriptor,NA descriptor,NR,NA,see full text,NR,NA,NA,NR,18582 min and 49878 annotated stimuli,restricted DUA,NR,see full text,see full text,NA descriptor,18582 min and 49878 annotated stimuli
S-10.1371/journal.pone.0140330,M024-01,24,10.1371/journal.pone.0140330,,,acute healthy,acute healthy,90,NR,NR,stimulus-derived pain intensity,see full text,see full text,biopotential features,biopotential features,NR,NR,see full text,NR,see full text,see full text,NR,window-level,window-level,NR,no,see full text,NR,no,no,NR,Window-level leakage risk,features open,NR,see full text,see full text,high,Window-level leakage risk
S-10.1109/jstsp.2016.2535962,M025-01,25,10.1109/jstsp.2016.2535962,,,acute healthy,acute healthy,NR,NR,NR,continuous pain intensity,see full text,see full text,biophysiological channels,biophysiological channels,NR,NR,see full text,NR,see full text,see full text,NR,personal calibration,personal calibration,NR,no,see full text,NR,NR,no,NR,"Personal transform is calibration, not zero-shot",request,NR,see full text,see full text,unclear,"Personal transform is calibration, not zero-shot"
S-10.1109/embc.2018.8513575,M026-01,26,10.1109/embc.2018.8513575,,,acute healthy,acute healthy,87,NR,NR,continuous pain intensity,see full text,see full text,autonomic signals,autonomic signals,NR,NR,see full text,NR,see full text,see full text,NR,subject held-out NR,subject held-out NR,NR,no,see full text,NR,no,no,NR,Conference study,request,NR,see full text,see full text,unclear,Conference study
S-10.1371/journal.pone.0254108,M027-01,27,10.1371/journal.pone.0254108,,,acute healthy,acute healthy,85,NR,NR,pain intensity,see full text,see full text,physiological signals,physiological signals,NR,NR,see full text,NR,see full text,see full text,NR,LOPO,LOPO,NR,no,see full text,NR,NR,no,NR,Normalization of held-out subject may be transductive,features open,NR,see full text,see full text,some concerns,Normalization of held-out subject may be transductive
S-10.3390/s21123956,M028-01,28,10.3390/s21123956,,,acute healthy,acute healthy,NR,NR,NR,high-level acute pain,see full text,see full text,wrist EDA,wrist EDA,NR,NR,see full text,NR,see full text,see full text,NR,subject-level NR,subject-level NR,NR,no,see full text,NR,no,no,NR,Wearable laboratory study; arousal is nonspecific,NR,NR,see full text,see full text,some concerns,Wearable laboratory study; arousal is nonspecific
S-10.1371/journal.pone.0307970,M029-01,29,10.1371/journal.pone.0307970,,,acute healthy,acute healthy,87,NR,NR,pain intensity,see full text,see full text,physiological signals,physiological signals,NR,NR,see full text,NR,see full text,see full text,NR,subject-level NR,subject-level NR,NR,no,see full text,NR,no,yes,NR,Prediction intervals on BioVid,request,NR,see full text,see full text,some concerns,Prediction intervals on BioVid
S-10.1056/nejmoa1204471,M030-01,30,10.1056/nejmoa1204471,,,acute healthy,acute healthy,114,NR,NR,evoked pain,see full text,see full text,fMRI,fMRI,NR,NR,see full text,NR,see full text,see full text,NR,independent cohorts,independent cohorts,NR,yes,see full text,NR,no,no,NR,Neurologic Pain Signature; not chronic-pain validation,controlled access,NR,see full text,see full text,some concerns,Neurologic Pain Signature; not chronic-pain validation
S-10.1038/s41593-023-01338-z,M031-01,31,10.1038/s41593-023-01338-z,,,chronic pain,chronic pain,4,NR,NR,within-person pain state,see full text,see full text,intracranial LFP,intracranial LFP,NR,NR,see full text,NR,see full text,see full text,NR,within-person temporal,within-person temporal,NR,no,see full text,NR,NR,NR,NR,First-in-human; no population-level generalization,controlled access,NR,see full text,see full text,high applicability risk,First-in-human; no population-level generalization
S-10.1016/j.pain.2011.11.023,M032-01,32,10.1016/j.pain.2011.11.023,,,SCS chronic pain,SCS chronic pain,NR,NR,NR,ECAP/recruitment,see full text,see full text,spinal ECAP,spinal ECAP,NR,NR,see full text,NR,see full text,see full text,NR,NA physiology,NA physiology,NR,no,see full text,NR,NA,NA,NR,"ECAP is recruitment, not pain intensity",NR,NR,see full text,see full text,some concerns,"ECAP is recruitment, not pain intensity"
S-10.1016/s1474-4422(19)30414-4,M033-01,33,10.1016/s1474-4422(19)30414-4,,,SCS chronic back/leg pain,SCS chronic back/leg pain,134,NR,NR,responder outcome,see full text,see full text,ECAP-controlled SCS + PROM,ECAP-controlled SCS + PROM,NR,NR,see full text,NR,see full text,see full text,NR,randomized trial,randomized trial,NR,no,see full text,NR,NA,NA,NR,EVOKE; industry funded,controlled,NR,see full text,see full text,some concerns,EVOKE; industry funded
S-10.1227/neu.0000000000001855,M034-01,34,10.1227/neu.0000000000001855,,,SCS chronic pain,SCS chronic pain,151,NR,NR,treatment response,see full text,see full text,clinical variables,clinical variables,NR,NR,see full text,NR,see full text,see full text,NR,nested CV,nested CV,NR,no,see full text,NR,no,no,NR,No independent external validation,closed,NR,see full text,see full text,high,No independent external validation
